"Count","Result","Time","Title","FullPath","LengthInKB","HexSignature","FileExtn","PotentiallyMalicious","ExtNoMatch"
"11","Extension not in DB","9/1/2018 12:39:10 AM","Quiz1answers.txt","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Online Weekly Quiz\Quiz1answers.txt","02","3129",".txt","0","0"
"12","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - Past Year Exam Paper - 2014.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Past Year Paper\ICT1001 - Past Year Exam Paper - 2014.pdf","336","2550",".pdf","0","0"
"13","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - Past Year Exam Paper - 2015.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Past Year Paper\ICT1001 - Past Year Exam Paper - 2015.pdf","151","2550",".pdf","0","0"
"14","Extension matches magic number","9/1/2018 12:39:10 AM","Additional In-Lecture Questions _ Answers.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 1-Introduction to Digital Age\Additional In-Lecture Questions _ Answers.docx","15","504b",".docx","0","0"
"15","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lab 1 - Virtual Machines _ Linux Shell Commands (done).docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 1-Introduction to Digital Age\ICT1001 - T1-16 - Lab 1 - Virtual Machines _ Linux Shell Commands (done).docx","72","504b",".docx","0","0"
"16","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lab 1 - Virtual Machines _ Linux Shell Commands.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 1-Introduction to Digital Age\ICT1001 - T1-16 - Lab 1 - Virtual Machines _ Linux Shell Commands.docx","48","504b",".docx","0","0"
"17","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lab 1 - Virtual Machines _ Linux Shell Commands.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 1-Introduction to Digital Age\ICT1001 - T1-16 - Lab 1 - Virtual Machines _ Linux Shell Commands.pdf","144","2550",".pdf","0","0"
"18","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lecture 1 - Introduction to Digital Age.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 1-Introduction to Digital Age\ICT1001 - T1-16 - Lecture 1 - Introduction to Digital Age.pdf","6041","2550",".pdf","0","0"
"19","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lecture 2 - Number Systems.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 2-Number Systems\ICT1001 - T1-16 - Lecture 2 - Number Systems.pdf","1208","2550",".pdf","0","0"
"20","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - T1-16 - Tutorial 1 - Number Systems.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 2-Number Systems\ICT1001 - T1-16 - Tutorial 1 - Number Systems.docx","44","504b",".docx","0","0"
"21","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - T1-16 - Tutorial 1 - Number Systems.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 2-Number Systems\ICT1001 - T1-16 - Tutorial 1 - Number Systems.pdf","102","2550",".pdf","0","0"
"22","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - T1-16 - Lecture 3 - Circuits 1 - Combinatorial Circuits.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 3_4-Digital Circuits\ICT1001 - T1-16 - Lecture 3 - Circuits 1 - Combinatorial Circuits.pdf","501","2550",".pdf","0","0"
"23","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lecture 4 - Circuits 2 - More Combinatorial Circuits and Sequential Circuits.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 3_4-Digital Circuits\ICT1001 - T1-16 - Lecture 4 - Circuits 2 - More Combinatorial Circuits and Sequential Circuits.pdf","1047","2550",".pdf","0","0"
"24","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - Lab Report Sample.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 3_4-Digital Circuits\Lab 2 and Lab 3\ICT1001 - Lab Report Sample.pdf","174","2550",".pdf","0","0"
"25","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lab 2 _ 3 - Combinatorial _ Sequential Circuits.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 3_4-Digital Circuits\Lab 2 and Lab 3\ICT1001 - T1-16 - Lab 2 _ 3 - Combinatorial _ Sequential Circuits.pdf","140","2550",".pdf","0","0"
"26","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - Lecture 3 Quiz - Part 1 Boolean Algebra.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 3_4-Digital Circuits\Socrative Practice Quiz\ICT1001 - Lecture 3 Quiz - Part 1 Boolean Algebra.pdf","49","2550",".pdf","0","0"
"27","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - Lecture 3 Quiz - Part 2 SOP, POS, KMap.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 3_4-Digital Circuits\Socrative Practice Quiz\ICT1001 - Lecture 3 Quiz - Part 2 SOP, POS, KMap.pdf","78","2550",".pdf","0","0"
"28","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - Lecture 3 Quiz - Part 1 Boolean Algebra.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 3_4-Digital Circuits\Socrative Practice Quiz\Answers\ICT1001 - Lecture 3 Quiz - Part 1 Boolean Algebra.pdf","56","2550",".pdf","0","0"
"29","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - Lecture 3 Quiz - Part 2 SOP, POS, KMap.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 3_4-Digital Circuits\Socrative Practice Quiz\Answers\ICT1001 - Lecture 3 Quiz - Part 2 SOP, POS, KMap.pdf","85","2550",".pdf","0","0"
"30","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lecture 5-1 - Database Part I  ER Diagram.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 5-Database\ICT1001 - T1-16 - Lecture 5-1 - Database Part I  ER Diagram.pdf","842","2550",".pdf","0","0"
"31","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lecture 5-1a - ER Exercise.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 5-Database\ICT1001 - T1-16 - Lecture 5-1a - ER Exercise.pdf","229","2550",".pdf","0","0"
"32","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lecture 5-2 - A Clarification on Nested SQL Query.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 5-Database\ICT1001 - T1-16 - Lecture 5-2 - A Clarification on Nested SQL Query.pdf","191","2550",".pdf","0","0"
"33","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lecture 5-2 - Database Part II  SQL.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 5-Database\ICT1001 - T1-16 - Lecture 5-2 - Database Part II  SQL.pdf","589","2550",".pdf","0","0"
"34","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lab 4 - Database.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week 5-Database\Lab 4\ICT1001 - T1-16 - Lab 4 - Database.pdf","2128","2550",".pdf","0","0"
"35","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - T1-16 - Lecture 6 - Short Version - Software Engineering.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week6-Software Engineering\ICT1001 - T1-16 - Lecture 6 - Short Version - Software Engineering.pdf","540","2550",".pdf","0","0"
"36","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lab 5 - Software Engineering - Grading Criteria.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week6-Software Engineering\Lab 5\ICT1001 - T1-16 - Lab 5 - Software Engineering - Grading Criteria.pdf","105","2550",".pdf","0","0"
"37","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001 - T1-16 - Lab 5 - Software Engineering.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week6-Software Engineering\Lab 5\ICT1001 - T1-16 - Lab 5 - Software Engineering.pdf","154","2550",".pdf","0","0"
"38","Extension matches magic number","9/1/2018 12:39:09 AM","A Note on BinarySearch-WCC-Analysis.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week7-Algorithms\A Note on BinarySearch-WCC-Analysis.pdf","133","2550",".pdf","0","0"
"39","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - T1-16 - Lecture 7 - Algorithms.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week7-Algorithms\ICT1001 - T1-16 - Lecture 7 - Algorithms.pdf","1173","2550",".pdf","0","0"
"40","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - T1-16 - Tutorial 2 - Algorithms.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week7-Algorithms\ICT1001 - T1-16 - Tutorial 2 - Algorithms.pdf","237","2550",".pdf","0","0"
"41","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - T1-16 - Lecture 8 - Security.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week8-Information Security\ICT1001 - T1-16 - Lecture 8 - Security.pdf","3595","2550",".pdf","0","0"
"42","Extension matches magic number","9/1/2018 12:39:09 AM","ICT1001 - T1-16 - Tutorial 3 - Security.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Week8-Information Security\ICT1001 - T1-16 - Tutorial 3 - Security.pdf","134","2550",".pdf","0","0"
"43","Extension matches magic number","9/1/2018 12:37:26 AM","Deitel-C_ How to Program.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Deitel-C_ How to Program.pdf","7564","2550",".pdf","0","0"
"44","Extension matches magic number","9/1/2018 12:37:26 AM","Team Assignment 1_Transaction Analyzer.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Assignment 1 (Python)\Team Assignment 1_Transaction Analyzer.pdf","116","2550",".pdf","0","0"
"45","Extension matches magic number","9/1/2018 12:37:27 AM","ICT1002_Assignment2_2016_Tri1.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Assignment 2 (C)\ICT1002_Assignment2_2016_Tri1.pdf","276","2550",".pdf","0","0"
"46","Extension not in DB","9/1/2018 12:37:28 AM","blogo.h","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Assignment 2 (C)\ICT1002_Assignment2_2016_Tri1_Skeleton\blogo.h","02","2f2a",".h","0","0"
"47","Extension not in DB","9/1/2018 12:37:28 AM","canvas.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Assignment 2 (C)\ICT1002_Assignment2_2016_Tri1_Skeleton\canvas.c","03","2f2a",".c","0","0"
"48","Extension not in DB","9/1/2018 12:37:28 AM","commands.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Assignment 2 (C)\ICT1002_Assignment2_2016_Tri1_Skeleton\commands.c","03","2f2a",".c","0","0"
"49","Extension not in DB","9/1/2018 12:37:28 AM","main.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Assignment 2 (C)\ICT1002_Assignment2_2016_Tri1_Skeleton\main.c","03","2f2a",".c","0","0"
"50","Extension not in DB","9/1/2018 12:37:27 AM","Makefile","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Assignment 2 (C)\ICT1002_Assignment2_2016_Tri1_Skeleton\Makefile","02","2323","","0","0"
"51","Extension not in DB","9/1/2018 12:37:28 AM","program.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Assignment 2 (C)\ICT1002_Assignment2_2016_Tri1_Skeleton\program.c","02","2f2a",".c","0","0"
"52","Extension not in DB","9/1/2018 12:37:28 AM","turtle.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Assignment 2 (C)\ICT1002_Assignment2_2016_Tri1_Skeleton\turtle.c","03","2f2a",".c","0","0"
"53","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002 Lec1_2016.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002 Lec1_2016.pdf","3936","2550",".pdf","0","0"
"54","Extension matches magic number","9/1/2018 12:37:27 AM","ICT1002 Lec2_2016.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002 Lec2_2016.pdf","5150","2550",".pdf","0","0"
"55","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002 Lec3_2016.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002 Lec3_2016.pdf","3661","2550",".pdf","0","0"
"56","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002 Lec4_Functional Abstraction and Decomposition.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002 Lec4_Functional Abstraction and Decomposition.pdf","2067","2550",".pdf","0","0"
"57","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002 Lec5_2016_RECURSION.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002 Lec5_2016_RECURSION.pdf","1720","2550",".pdf","0","0"
"58","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002 Lec6_2016_HIGHER ORDER FUNCTION.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002 Lec6_2016_HIGHER ORDER FUNCTION.pdf","1641","2550",".pdf","0","0"
"59","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002-W10-LEC-More-on-Arrays-and-Pointers.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002-W10-LEC-More-on-Arrays-and-Pointers.pdf","1994","2550",".pdf","0","0"
"60","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002-W11-LEC-Dynamic-Memory-Allocation.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002-W11-LEC-Dynamic-Memory-Allocation.pdf","1094","2550",".pdf","0","0"
"61","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002-W12-LEC-Files.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002-W12-LEC-Files.pdf","938","2550",".pdf","0","0"
"62","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002-W8-LEC-Introduction-to-C.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002-W8-LEC-Introduction-to-C.pdf","1495","2550",".pdf","0","0"
"63","Extension matches magic number","9/1/2018 12:37:28 AM","ICT1002-W9-LEC-Program-and-Memory-Organisation.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Practical Exam 2016\ICT1002 PRACTICAL TEST\Lec for practical\ICT1002-W9-LEC-Program-and-Memory-Organisation.pdf","1597","2550",".pdf","0","0"
"64","Extension matches magic number","9/1/2018 12:37:26 AM","ICT1002 Lab 1_2016.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 1\ICT1002 Lab 1_2016.docx","138","504b",".docx","0","0"
"65","Extension matches magic number","9/1/2018 12:37:26 AM","ICT1002 Lab 1_2016.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 1\ICT1002 Lab 1_2016.pdf","789","2550",".pdf","0","0"
"66","Extension matches magic number","9/3/2018 9:03:24 AM","ICT1002 Lec1 on Historical of computing & Python basics 1_2018.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 1\ICT1002 Lec1 on Historical of computing & Python basics 1_2018.pdf","3511","2550",".pdf","0","0"
"67","Extension matches magic number","9/1/2018 12:37:27 AM","ICT1002 Lec1_2016.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 1\ICT1002 Lec1_2016.pdf","3936","2550",".pdf","0","0"
"68","Extension matches magic number","9/1/2018 12:37:26 AM","ICT1002 Lec2_2016.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 1\ICT1002 Lec2_2016.pdf","5150","2550",".pdf","0","0"
"69","Extension matches magic number","9/1/2018 12:37:26 AM","ICT1002-W10-LAB-Arrays-and-Pointers-2017_Tri1 (done).docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LAB-Arrays-and-Pointers-2017_Tri1 (done).docx","98","504b",".docx","0","0"
"70","Extension matches magic number","9/1/2018 12:37:26 AM","ICT1002-W10-LAB-Arrays-and-Pointers-2017_Tri1.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LAB-Arrays-and-Pointers-2017_Tri1.docx","95","504b",".docx","0","0"
"71","Extension matches magic number","9/1/2018 12:37:27 AM","ICT1002-W10-LEC-More-on-Arrays-and-Pointers.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-More-on-Arrays-and-Pointers.pdf","1994","2550",".pdf","0","0"
"72","Extension not in DB","9/1/2018 12:37:28 AM","array_addresses.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\array_addresses.c","00","2f2a",".c","0","0"
"73","Extension not in DB","9/1/2018 12:37:28 AM","constant_and_nonconstant.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\constant_and_nonconstant.c","00","2f2a",".c","0","0"
"74","Extension not in DB","9/1/2018 12:37:28 AM","const_array.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\const_array.c","01","2f2a",".c","0","0"
"75","Extension not in DB","9/1/2018 12:37:28 AM","cube_by_reference.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\cube_by_reference.c","00","2f2a",".c","0","0"
"76","Extension not in DB","9/1/2018 12:37:28 AM","modify_array.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\modify_array.c","01","2f2a",".c","0","0"
"77","Extension not in DB","9/1/2018 12:37:28 AM","pointers_and_arrays.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\pointers_and_arrays.c","00","2f2a",".c","0","0"
"78","Extension not in DB","9/1/2018 12:37:28 AM","pointer_array.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\pointer_array.c","00","2f2a",".c","0","0"
"79","Extension not in DB","9/1/2018 12:37:28 AM","pointer_to_pointer.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\pointer_to_pointer.c","01","2f2a",".c","0","0"
"80","Extension not in DB","9/1/2018 12:37:28 AM","print_reverse.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\print_reverse.c","01","2f2a",".c","0","0"
"81","Extension not in DB","9/1/2018 12:37:28 AM","puts_and_getchar.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\puts_and_getchar.c","00","2f2a",".c","0","0"
"82","Extension not in DB","9/1/2018 12:37:28 AM","sprintf.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\sprintf.c","00","2f2a",".c","0","0"
"83","Extension not in DB","9/1/2018 12:37:28 AM","string_comparison.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\string_comparison.c","00","2369",".c","0","0"
"84","Extension not in DB","9/1/2018 12:37:28 AM","string_conversion.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\string_conversion.c","00","2f2a",".c","0","0"
"85","Extension not in DB","9/1/2018 12:37:28 AM","string_manipulation.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\string_manipulation.c","01","2f2a",".c","0","0"
"86","Extension not in DB","9/1/2018 12:37:28 AM","swap_pointer.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\swap_pointer.c","01","2f2a",".c","0","0"
"87","Extension not in DB","9/1/2018 12:37:28 AM","two_dimensional_array.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\two_dimensional_array.c","02","2f2a",".c","0","0"
"88","Extension not in DB","9/1/2018 12:37:28 AM","void_pointers.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\ICT1002-W10-LEC-CodeExamples\void_pointers.c","00","2f2a",".c","0","0"
"89","Extension not in DB","9/1/2018 12:37:26 AM","graphics2.h","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\TicTacToe-Week10-Start\graphics2.h","08","2f2f",".h","0","0"
"90","Extension not in DB","9/1/2018 12:37:27 AM","GUI.c","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\TicTacToe-Week10-Start\GUI.c","04","2369",".c","0","0"
"91","Extension not in DB","9/1/2018 12:37:27 AM","GUI.h","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\TicTacToe-Week10-Start\GUI.h","01","2364",".h","0","0"
"92","Extension not in DB","9/1/2018 12:37:26 AM","Makefile","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1002-Programming Fundamentals\Week 10\TicTacToe-Week10-Start\Makefile","01","4343","","0","0"
